id,charter_name,subdistrict,district,province,publish_date,title,leader,academic_supporter
1,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลสรรพยา,สรรพยา,สรรพยา,ชัยนาท,14 มิถุนายน 2565,รองรับสังคมสูงวัย,นางจรวยพร เกิดเสม,นางสาวสุปราณี ต่ายเกิด
2,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลตลุก,ตลุก,สรรพยา,ชัยนาท,9 มิถุนายน 2565,รองรับสังคมสูงวัย,นายจรัญ บุญช่วย,นางสาวสุปราณี ต่ายเกิด
3,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลเขาแก้ว,เขาแก้ว,สรรพยา,ชัยนาท,9 กรกฎาคม 2565,รองรับสังคมสูงวัย,นายสมเกียรติ สิงหา,นางสาวสุปราณี ต่ายเกิด
4,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลโพนางดำตก,โพนางดำตก,สรรพยา,ชัยนาท,15 มิถุนายน 2565,รองรับสังคมสูงวัย,นางปรานอม หิรัญจันทร์สุข,นางสาวสุปราณี ต่ายเกิด
5,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลโพนางดำออก,โพนางดำออก,สรรพยา,ชัยนาท,11 มิถุนายน 2565,รองรับสังคมสูงวัย,นายประสงค์ ปั้นจันทร์,นางสาวสุปราณี ต่ายเกิด
6,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลบางหลวง,บางหลวง,สรรพยา,ชัยนาท,15 มิถุนายน 2565,รองรับสังคมสูงวัย,นายอำนวย นาเกตุ,นางสาวสุปราณี ต่ายเกิด
7,ธรรมนูญสุขภาพเพื่อสุขภาวะชุมชน ตำบลหาดอาษา,หาดอาษา,สรรพยา,ชัยนาท,12 มิถุนายน 2565,รองรับสังคมสูงวัย,นางอุไร ศรีรักษา,นางสาวสุปราณี ต่ายเกิด
